locality,provisional_ballots,absentee_ballots,in_person_ballots,in_person_curbside_ballots,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,population,region
ACCOMACK COUNTY,14,4565,8751,130,13460,24141,1221,25362,33413,eastern
ALBEMARLE COUNTY,228,5750,32053,182,38213,80699,5168,85867,112395,central
ALEXANDRIA CITY,245,20483,32691,72,53491,98565,13417,111982,159467,northern
ALLEGHANY COUNTY,0,799,4607,19,5425,10402,647,11049,15223,valley
AMELIA COUNTY,3,1713,3846,12,5574,9858,283,10141,13265,central
AMHERST COUNTY,0,2926,8912,120,11958,21963,840,22803,31307,west_central
APPOMATTOX COUNTY,0,1686,4887,96,6669,11800,371,12171,16119,west_central
ARLINGTON COUNTY,383,33203,56388,120,90094,157782,18155,175936,238643,northern
AUGUSTA COUNTY,21,7986,22444,257,30708,53084,1657,54741,77487,valley
BATH COUNTY,2,323,1368,0,1693,3216,136,3352,4209,valley
BEDFORD COUNTY,142,8089,25362,222,33815,62284,2292,64576,79462,west_central
BLAND COUNTY,0,464,1762,9,2235,4336,250,4586,6270,southwest
BOTETOURT COUNTY,8,3955,10709,115,14787,25574,668,26242,33596,west_central
BRISTOL CITY,6,1368,3048,29,4451,11024,1276,12300,17219,southwest
BRUNSWICK COUNTY,0,1564,3693,113,5370,10730,324,11054,15849,southside
BUCHANAN COUNTY,2,869,3871,24,4766,14329,508,14837,20355,southwest
BUCKINGHAM COUNTY,4,1673,3654,82,5413,10720,341,11061,16824,southside
BUENA VISTA CITY,0,548,1064,0,1612,4078,341,4419,6641,valley
CAMPBELL COUNTY,25,4583,15379,104,20091,39290,1815,41105,55696,west_central
CAROLINE COUNTY,4,2961,8621,96,11682,21860,897,22757,30887,central
CARROLL COUNTY,0,2152,8002,79,10233,20498,573,21071,29155,southwest
CHARLES CITY COUNTY,10,1087,1735,52,2884,5578,151,5729,6773,central
CHARLOTTE COUNTY,10,1105,3131,29,4275,8163,281,8444,11529,southside
CHARLOTTESVILLE CITY,8,5997,9837,77,15919,30843,3205,34048,46553,central
CHESAPEAKE CITY,258,34252,54178,1316,90004,167564,12431,179995,249422,hampton_roads
CHESTERFIELD COUNTY,349,51814,87440,0,139603,262390,14612,277002,364548,central
CLARKE COUNTY,6,2238,4905,82,7231,11676,533,12209,14783,northern
COLONIAL HEIGHTS CITY,5,2129,3514,112,5760,12312,685,12997,18170,central
COVINGTON CITY,0,240,1247,0,1487,3704,176,3880,5737,valley
CRAIG COUNTY,0,460,1603,22,2085,3828,132,3960,4892,west_central
CULPEPER COUNTY,40,5974,14077,85,20176,35274,1544,36818,52552,northern
CUMBERLAND COUNTY,0,1005,2736,0,3741,7165,222,7387,9675,southside
DANVILLE CITY,18,3608,8218,90,11934,26998,1739,28737,42590,southside
DICKENSON COUNTY,6,1025,2860,21,3912,9672,461,10133,14124,southwest
DINWIDDIE COUNTY,10,2636,6852,29,9527,19939,822,20761,27947,central
EMPORIA CITY,0,354,1059,4,1417,3784,234,4018,5766,southside
ESSEX COUNTY,6,1519,2687,110,4322,7980,282,8262,10599,eastern
FAIRFAX CITY,33,4074,5560,39,9706,16454,1201,17655,24146,northern
FAIRFAX COUNTY,2645,140282,261012,3061,407000,742649,45477,788070,1150309,northern
FALLS CHURCH CITY,30,3026,3290,29,6375,10242,872,11114,14658,northern
FAUQUIER COUNTY,68,11915,21031,0,33014,53080,3047,56127,72972,northern
FLOYD COUNTY,5,1982,4231,166,6384,11437,399,11836,15476,west_central
FLUVANNA COUNTY,11,5639,6097,49,11796,20175,728,20903,27249,central
FRANKLIN CITY,7,1133,1771,71,2982,5603,302,5905,8180,southside
FRANKLIN COUNTY,8,4785,15678,150,20621,38679,1252,39931,54477,west_central
FREDERICK COUNTY,49,7645,25822,80,33596,64147,3402,67549,91419,valley
FREDERICKSBURG CITY,45,3553,5491,71,9160,17751,1572,19323,27982,northern
GALAX CITY,2,524,1074,35,1635,3827,228,4055,6720,southwest
GILES COUNTY,1,1721,4046,42,5810,11671,389,12060,16787,west_central
GLOUCESTER COUNTY,12,4113,11296,159,15580,28998,1141,30139,38711,hampton_roads
GOOCHLAND COUNTY,18,5262,8403,39,13722,20613,705,21318,24727,central
GRAYSON COUNTY,0,322,5070,38,5430,10575,346,10921,15333,southwest
GREENE COUNTY,13,3391,4978,32,8414,14352,481,14833,20552,central
GREENSVILLE COUNTY,0,740,2182,16,2938,6186,234,6420,11391,southside
HALIFAX COUNTY,8,3257,8827,23,12115,24214,811,25025,34022,southside
HAMPTON CITY,119,13134,27227,377,40857,90954,9828,100782,137148,hampton_roads
HANOVER COUNTY,101,14513,37070,1115,52799,86437,2535,88972,109979,central
HARRISONBURG CITY,18,3981,6086,20,10105,23707,2509,26216,51814,valley
